file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [20-Jun-2025 03:41:49 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 105
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 120
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 125
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 130
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 135
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 74
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 75
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 76
[20-Jun-2025 03:42:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 77
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 105
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 110
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 115
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 120
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 125
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 130
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 135
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 74
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 75
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 76
[20-Jun-2025 03:42:28 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 77
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 105
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 110
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 115
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 120
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 125
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 130
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/universal-voice-search.php on line 135
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 74
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 75
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 76
[20-Jun-2025 03:42:33 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/universal-voice-search/classes/plugin.php on line 77
[20-Jun-2025 03:42:43 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>gutenberg-pack</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-Jun-2025 03:42:53 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>gutenberg-pack</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-Jun-2025 03:43:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>gutenberg-pack</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-Jun-2025 03:43:40 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/xpertmailer-advanced-php-mail-engine/XPM4/PHP5/FUNC5.php on line 119
[20-Jun-2025 03:43:48 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/xpertmailer-advanced-php-mail-engine/XPM4/PHP5/FUNC5.php on line 119
[20-Jun-2025 03:43:56 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/xpertmailer-advanced-php-mail-engine/XPM4/PHP5/FUNC5.php on line 119
[20-Jun-2025 03:44:55 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2104
[20-Jun-2025 03:44:55 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2142
[20-Jun-2025 03:44:55 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2176
[20-Jun-2025 03:44:55 UTC] PHP Deprecated:  Function like_escape is <strong>deprecated</strong> since version 4.0.0! Use wpdb::esc_like() instead. in /wordpress/wp-includes/functions.php on line 6121
[20-Jun-2025 03:44:56 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2104
[20-Jun-2025 03:44:56 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2142
[20-Jun-2025 03:44:56 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2176
[20-Jun-2025 03:45:06 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2104
[20-Jun-2025 03:45:06 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2142
[20-Jun-2025 03:45:06 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2176
[20-Jun-2025 03:45:07 UTC] PHP Deprecated:  Function like_escape is <strong>deprecated</strong> since version 4.0.0! Use wpdb::esc_like() instead. in /wordpress/wp-includes/functions.php on line 6121
[20-Jun-2025 03:45:08 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2104
[20-Jun-2025 03:45:08 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2142
[20-Jun-2025 03:45:08 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2176
[20-Jun-2025 03:45:17 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2104
[20-Jun-2025 03:45:17 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2142
[20-Jun-2025 03:45:17 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/xrandomizer/core/classes/xd-v141226-dev/framework.php on line 2176
[20-Jun-2025 03:45:17 UTC] PHP Deprecated:  Function like_escape is <strong>deprecated</strong> since version 4.0.0! Use wpdb::esc_like() instead. in /wordpress/wp-includes/functions.php on line 6121
