file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [07-Jun-2025 19:24:11 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/modern-designs-for-gravity-forms/incfs/includes/class-fs-logger.php on line 145
[07-Jun-2025 19:25:02 UTC] PHP Warning:  Undefined variable $num in /wordpress/wp-content/plugins/mokejimailtwebtopaycom-payment-gateway/wp-e-commerce-webtopay.php on line 17
[07-Jun-2025 19:25:03 UTC] PHP Warning:  Undefined variable $num in /wordpress/wp-content/plugins/mokejimailtwebtopaycom-payment-gateway/wp-e-commerce-webtopay.php on line 13
[07-Jun-2025 19:25:03 UTC] PHP Warning:  Undefined variable $num in /wordpress/wp-content/plugins/mokejimailtwebtopaycom-payment-gateway/wp-e-commerce-webtopay.php on line 14
[07-Jun-2025 19:25:03 UTC] PHP Warning:  Undefined variable $num in /wordpress/wp-content/plugins/mokejimailtwebtopaycom-payment-gateway/wp-e-commerce-webtopay.php on line 15
[07-Jun-2025 19:25:03 UTC] PHP Warning:  Undefined variable $num in /wordpress/wp-content/plugins/mokejimailtwebtopaycom-payment-gateway/wp-e-commerce-webtopay.php on line 16
[07-Jun-2025 19:25:03 UTC] PHP Warning:  Undefined variable $num in /wordpress/wp-content/plugins/mokejimailtwebtopaycom-payment-gateway/wp-e-commerce-webtopay.php on line 17
[07-Jun-2025 19:25:36 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>monoblock</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 19:25:46 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>monoblock</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 19:25:57 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>monoblock</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jun-2025 19:27:28 UTC] PHP Deprecated:  Required parameter $model_table_name follows optional parameter $per_page in /wordpress/wp-content/plugins/mbm-ipak/include/lib/tools.php on line 288
[07-Jun-2025 19:27:28 UTC] PHP Deprecated:  Required parameter $model_where follows optional parameter $per_page in /wordpress/wp-content/plugins/mbm-ipak/include/lib/tools.php on line 288
[07-Jun-2025 19:27:28 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/mbm-ipak/include/hooks/sanad.php on line 159
[07-Jun-2025 19:27:28 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/mbm-ipak/include/hooks/sanad.php on line 159
[07-Jun-2025 19:27:30 UTC] PHP Deprecated:  Required parameter $model_table_name follows optional parameter $per_page in /wordpress/wp-content/plugins/mbm-ipak/include/lib/tools.php on line 288
[07-Jun-2025 19:27:30 UTC] PHP Deprecated:  Required parameter $model_where follows optional parameter $per_page in /wordpress/wp-content/plugins/mbm-ipak/include/lib/tools.php on line 288
[07-Jun-2025 19:27:39 UTC] PHP Deprecated:  Required parameter $model_table_name follows optional parameter $per_page in /wordpress/wp-content/plugins/mbm-ipak/include/lib/tools.php on line 288
[07-Jun-2025 19:27:39 UTC] PHP Deprecated:  Required parameter $model_where follows optional parameter $per_page in /wordpress/wp-content/plugins/mbm-ipak/include/lib/tools.php on line 288
[07-Jun-2025 19:27:39 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/mbm-ipak/include/hooks/sanad.php on line 159
[07-Jun-2025 19:27:39 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/mbm-ipak/include/hooks/sanad.php on line 159
