file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [21-Jun-2025 07:47:32 UTC] PHP Warning:  Undefined variable $wpcas_options in /wordpress/wp-content/plugins/wpcas/wpcas.php on line 44
[21-Jun-2025 07:51:03 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:03 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:03 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:03 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:04 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:04 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:04 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:04 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
[21-Jun-2025 07:51:04 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6121
[21-Jun-2025 07:51:04 UTC] PHP Warning:  Undefined variable $unique_filename_callback in /wordpress/wp-content/plugins/wp-design-maps-places/wpdmp-attach-file.php on line 27
