file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

[03-May-2025 21:26:09 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$message as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 53
[03-May-2025 21:26:09 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$to as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 54
[03-May-2025 21:26:09 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$to2 as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 55
[03-May-2025 21:26:16 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$username as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 50
[03-May-2025 21:26:16 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$password as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 51
[03-May-2025 21:26:16 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$from as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 52
[03-May-2025 21:26:16 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$message as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 53
[03-May-2025 21:26:16 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$to as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 54
[03-May-2025 21:26:16 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$to2 as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 55
[03-May-2025 21:26:18 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$username as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 50
[03-May-2025 21:26:18 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$password as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 51
[03-May-2025 21:26:18 UTC] PHP Notice:  Accessing static property Shopp_Mediaburst::$from as non static in /wordpress/wp-content/plugins/shopp-mediaburst/shopp-mediaburst.php on line 52
