file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

[26-Jun-2025 19:24:34 UTC] PHP Deprecated:  Required parameter $current_post_id follows optional parameter $render in /wordpress/wp-content/plugins/software-issue-manager/assets/ext/emd-posts-to-posts/admin/box.php on line 166
[26-Jun-2025 19:24:34 UTC] PHP Deprecated:  Required parameter $submit_result follows optional parameter $error in /wordpress/wp-content/plugins/software-issue-manager/includes/emd-form-builder-lite/emd-form-frontend.php on line 996
[26-Jun-2025 19:24:34 UTC] PHP Deprecated:  Required parameter $myfields follows optional parameter $args in /wordpress/wp-content/plugins/software-issue-manager/includes/emd-form-builder-lite/emd-form-functions.php on line 688
[26-Jun-2025 19:24:34 UTC] PHP Deprecated:  Required parameter $app follows optional parameter $pids in /wordpress/wp-content/plugins/software-issue-manager/includes/filter-functions.php on line 22
[26-Jun-2025 19:24:34 UTC] PHP Deprecated:  Required parameter $check_ptype follows optional parameter $pids in /wordpress/wp-content/plugins/software-issue-manager/includes/filter-functions.php on line 22
[26-Jun-2025 19:24:42 UTC] PHP Deprecated:  Required parameter $submit_result follows optional parameter $error in /wordpress/wp-content/plugins/software-issue-manager/includes/emd-form-builder-lite/emd-form-frontend.php on line 996
[26-Jun-2025 19:24:42 UTC] PHP Deprecated:  Required parameter $myfields follows optional parameter $args in /wordpress/wp-content/plugins/software-issue-manager/includes/emd-form-builder-lite/emd-form-functions.php on line 688
[26-Jun-2025 19:24:42 UTC] PHP Deprecated:  Required parameter $app follows optional parameter $pids in /wordpress/wp-content/plugins/software-issue-manager/includes/filter-functions.php on line 22
[26-Jun-2025 19:24:42 UTC] PHP Deprecated:  Required parameter $check_ptype follows optional parameter $pids in /wordpress/wp-content/plugins/software-issue-manager/includes/filter-functions.php on line 22
[26-Jun-2025 19:24:42 UTC] PHP Deprecated:  Required parameter $nonce follows optional parameter $formdata in /wordpress/wp-content/plugins/software-issue-manager/assets/ext/emd-posts-to-posts/scb/Forms.php on line 35
[26-Jun-2025 19:24:42 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $file in /wordpress/wp-content/plugins/software-issue-manager/assets/ext/emd-posts-to-posts/scb/Cron.php on line 24
[26-Jun-2025 19:25:48 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 17
[26-Jun-2025 19:25:48 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 17
[26-Jun-2025 19:25:48 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.4.31-dev. in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 24
[26-Jun-2025 19:25:58 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 17
[26-Jun-2025 19:25:58 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 17
[26-Jun-2025 19:25:58 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.4.31-dev. in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 24
[26-Jun-2025 19:26:09 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 17
[26-Jun-2025 19:26:09 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 17
[26-Jun-2025 19:26:09 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.4.31-dev. in /wordpress/wp-content/plugins/spectrocoin-accepting-bitcoin/vendor/composer/platform_check.php on line 24
[26-Jun-2025 19:26:53 UTC] PHP Notice:  Function register_taxonomy was called <strong>incorrectly</strong>. Taxonomy names must be between 1 and 32 characters in length. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.2.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-Jun-2025 19:27:03 UTC] PHP Notice:  Function register_taxonomy was called <strong>incorrectly</strong>. Taxonomy names must be between 1 and 32 characters in length. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.2.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-Jun-2025 19:27:13 UTC] PHP Notice:  Function register_taxonomy was called <strong>incorrectly</strong>. Taxonomy names must be between 1 and 32 characters in length. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.2.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-Jun-2025 19:28:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>restaurant-reservations</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-Jun-2025 19:29:14 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>restaurant-reservations</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-Jun-2025 19:29:29 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>restaurant-reservations</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-Jun-2025 19:30:01 UTC] PHP Deprecated:  Required parameter $ddeals_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-daily-deals/includes/ajax-calls.php on line 528
