file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [21-Apr-2025 15:53:42 UTC] PHP Parse error:  syntax error, unexpected 'string' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /wordpress/wp-content/plugins/digital-events-calendar/includes/admin/class-digital-event-calendar-settings.php on line 33
[21-Apr-2025 15:54:09 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_helpers.php on line 69
[21-Apr-2025 15:54:09 UTC] PHP Deprecated:  Required parameter $wp_customize follows optional parameter $args in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 583
[21-Apr-2025 15:54:09 UTC] PHP Deprecated:  Required parameter $wp_customize follows optional parameter $args in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 606
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 21
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 104
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 104
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 104
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 104
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 104
[21-Apr-2025 15:54:18 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_functions.php on line 54
[21-Apr-2025 15:54:19 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 21
[21-Apr-2025 15:54:19 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:19 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:19 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
[21-Apr-2025 15:54:19 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/dima-take-action/admin/redux-framework/ReduxCore/inc/class.redux_cdn.php on line 45
