file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [04-May-2025 16:56:00 UTC] PHP Deprecated:  Required parameter $tag follows optional parameter $content in /wordpress/wp-content/plugins/featured-circles/inc/featured_circles_shortcode.php on line 16
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 828
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 831
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 863
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 864
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 875
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 889
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 890
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 895
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 922
[04-May-2025 17:00:26 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 926
[04-May-2025 17:00:27 UTC] PHP Notice:  Accessing static property Flare::$namespace as non static in /wordpress/wp-content/plugins/flare/flare.php on line 89
[04-May-2025 17:00:27 UTC] PHP Notice:  Accessing static property Flare::$label as non static in /wordpress/wp-content/plugins/flare/flare.php on line 91
[04-May-2025 17:00:27 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 11
[04-May-2025 17:00:27 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 14
[04-May-2025 17:00:27 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 15
[04-May-2025 17:00:27 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 18
[04-May-2025 17:00:27 UTC] PHP Deprecated:  The called constructor method for WP_Widget class in FlareFollowWidget is <strong>deprecated</strong> since version 4.3.0! Use <code>__construct()</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 230
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$label as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 232
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 234
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 236
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 238
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$label as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 239
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 828
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 831
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 863
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 864
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 875
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 889
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 890
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 895
[04-May-2025 17:00:36 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 922
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 926
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 828
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 831
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 863
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$scaffold as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 864
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 875
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 889
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 890
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$available_buttons as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 895
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 922
[04-May-2025 17:00:37 UTC] PHP Notice:  Accessing static property Flare_Model::$namespace as non static in /wordpress/wp-content/plugins/flare/models/button.php on line 926
[04-May-2025 17:00:38 UTC] PHP Notice:  Accessing static property Flare::$namespace as non static in /wordpress/wp-content/plugins/flare/flare.php on line 89
[04-May-2025 17:00:38 UTC] PHP Notice:  Accessing static property Flare::$label as non static in /wordpress/wp-content/plugins/flare/flare.php on line 91
[04-May-2025 17:00:38 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 11
[04-May-2025 17:00:38 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 14
[04-May-2025 17:00:38 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 15
[04-May-2025 17:00:38 UTC] PHP Notice:  Accessing static property FlareFollowWidget::$namespace as non static in /wordpress/wp-content/plugins/flare/widgets/follow.php on line 18
[04-May-2025 17:00:38 UTC] PHP Deprecated:  The called constructor method for WP_Widget class in FlareFollowWidget is <strong>deprecated</strong> since version 4.3.0! Use <code>__construct()</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[04-May-2025 17:00:48 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:48 UTC] PHP Deprecated:  Required parameter $tab follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:49 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:49 UTC] PHP Deprecated:  Required parameter $tab follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:49 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>flexcoupons</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[04-May-2025 17:00:58 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:58 UTC] PHP Deprecated:  Required parameter $tab follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:59 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:59 UTC] PHP Deprecated:  Required parameter $tab follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:00:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>flexcoupons</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[04-May-2025 17:01:08 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:01:08 UTC] PHP Deprecated:  Required parameter $tab follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:01:09 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
[04-May-2025 17:01:09 UTC] PHP Deprecated:  Required parameter $tab follows optional parameter $groups in /wordpress/wp-content/plugins/flex-coupons-free/boot/boot.php on line 510
