file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [01-Jul-2025 16:35:02 UTC] PHP Deprecated:  Required parameter $id follows optional parameter $pages in /wordpress/wp-content/plugins/ultimate-wp-query-search-filter/classes/uwpqsf-process-class.php on line 311
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Undefined array key "functions.php" in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Undefined array key "functions.php" in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Undefined array key "functions.php" in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:36 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:38 UTC] PHP Warning:  Undefined array key "functions.php" in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:38 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
[01-Jul-2025 16:36:38 UTC] PHP Notice:  Function wp_register_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>vk-gallery-fancybox</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jul-2025 16:36:38 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jul-2025 16:36:38 UTC] PHP Warning:  Undefined array key "functions.php" in /wordpress/wp-content/plugins/vk-gallery/lib/functions.php on line 14
