file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 17:25:15 UTC] PHP Warning:  Undefined variable $hqcrm in /wordpress/wp-content/plugins/hq-goabroad/includes/utils.php on line 435
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 228
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 233
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 12
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 17
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 30
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 40
[12-Apr-2025 17:26:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 114
[12-Apr-2025 17:27:05 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "wp_head" in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php:40
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('happy-christmas...')
#2 /internal/eval.php(20): activate_plugin('happy-christmas...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php on line 40
[12-Apr-2025 17:27:13 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "wp_head" in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php:40
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('happy-christmas...')
#2 /internal/eval.php(20): activate_plugin('happy-christmas...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php on line 40
[12-Apr-2025 17:27:21 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "wp_head" in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php:40
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('happy-christmas...')
#2 /internal/eval.php(20): activate_plugin('happy-christmas...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php on line 40
[12-Apr-2025 17:30:03 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function WC() in /wordpress/wp-content/plugins/hit-tracki-multi-carrier-shipment-tracking/hit_tracki_basic.php:32
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(326): hit_tracki_plugin_activation('hit-tracki-mult...')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-admin/includes/plugin.php(730): do_action('activated_plugi...', 'hit-tracki-mult...', false)
#4 /internal/eval.php(20): activate_plugin('hit-tracki-mult...')
#5 {main}
  thrown in /wordpress/wp-content/plugins/hit-tracki-multi-carrier-shipment-tracking/hit_tracki_basic.php on line 32
[12-Apr-2025 17:30:11 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function WC() in /wordpress/wp-content/plugins/hit-tracki-multi-carrier-shipment-tracking/hit_tracki_basic.php:32
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(326): hit_tracki_plugin_activation('hit-tracki-mult...')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-admin/includes/plugin.php(730): do_action('activated_plugi...', 'hit-tracki-mult...', false)
#4 /internal/eval.php(20): activate_plugin('hit-tracki-mult...')
#5 {main}
  thrown in /wordpress/wp-content/plugins/hit-tracki-multi-carrier-shipment-tracking/hit_tracki_basic.php on line 32
