file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [01-Jun-2025 16:54:54 UTC] PHP Warning:  Undefined array key "tf_trustfeed_review" in /wordpress/wp-content/plugins/trustfeed-reviews-and-customer-feedback-for-woocommerce/trustfeed.php on line 123
[01-Jun-2025 16:56:51 UTC] PHP Warning:  fopen(php://stderr): Failed to open stream: operation failed in /wordpress/wp-content/plugins/tsd-infinisite/vendor/leafo/scssphp/src/Compiler.php on line 183
[01-Jun-2025 16:56:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/tsd-infinisite/vendor/leafo/scssphp/src/Compiler.php on line 3629
[01-Jun-2025 16:56:52 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/tsd-infinisite/class/Page_Builder.php on line 260
[01-Jun-2025 16:56:52 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/tsd-infinisite/class/Page_Builder.php on line 261
[01-Jun-2025 16:56:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/tsd-infinisite/vendor/leafo/scssphp/src/Compiler.php on line 3629
[01-Jun-2025 16:56:53 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/tsd-infinisite/class/Data_Moves.php:11
Stack trace:
#0 /wordpress/wp-content/plugins/tsd-infinisite/class/Data_Moves.php(11): count(false)
#1 /wordpress/wp-content/plugins/tsd-infinisite/tsd_infinisite.php(88): TSD_Infinisite\Data_Moves::cpt_from_repeater_to_option_sub_page()
#2 /wordpress/wp-includes/class-wp-hook.php(324): IS_Activation(false)
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_tsd-in...', false)
#6 /internal/eval.php(20): activate_plugin('tsd-infinisite/...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/tsd-infinisite/class/Data_Moves.php on line 11
[01-Jun-2025 16:57:10 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $post_id in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/includes/api/api-value.php on line 231
[01-Jun-2025 16:57:10 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $value in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/includes/api/api-value.php on line 341
[01-Jun-2025 16:57:10 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $post_id in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/includes/api/api-value.php on line 399
[01-Jun-2025 16:57:10 UTC] PHP Deprecated:  Required parameter $fields follows optional parameter $post_id in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/includes/api/api-field.php on line 326
[01-Jun-2025 16:57:10 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $key in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/includes/cache.php on line 399
[01-Jun-2025 16:57:11 UTC] PHP Warning:  The magic method TSD_Infinisite\AdminNotice::__wakeup() must have public visibility in /wordpress/wp-content/plugins/tsd-infinisite/class/Admin_Notice.php on line 18
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-repeater.php on line 700
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-repeater.php on line 700
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-repeater.php on line 766
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-repeater.php on line 766
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $name in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-flexible-content.php on line 1046
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-flexible-content.php on line 1082
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-flexible-content.php on line 1082
[01-Jun-2025 16:57:11 UTC] PHP Deprecated:  Required parameter $field follows optional parameter $i in /wordpress/wp-content/plugins/tsd-infinisite/assets/acf/pro/fields/class-acf-field-flexible-content.php on line 1134
