file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:110
          throw new Error(`${ue}: ${p}`, {
                ^

Error: [19-May-2025 15:52:26 UTC] PHP Warning:  Undefined property: WP_Object_Cache::$cache_enabled in /wordpress/wp-includes/class-wp-object-cache.php on line 94
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[19-May-2025 15:54:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[19-May-2025 15:54:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[19-May-2025 15:54:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined array key "QUERY_STRING" in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 15
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[19-May-2025 15:54:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[19-May-2025 15:54:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[19-May-2025 15:54:35 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[19-May-2025 15:54:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: ErrnoError { name: 'ErrnoError', errno: 44 }
}

Node.js v23.11.0
