file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[01-Jul-2025 05:33:10 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[01-Jul-2025 05:35:15 UTC] PHP Warning:  file_put_contents(/var/log/zt-debug.log): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/ziptax-sales-tax-for-woocommerce/inc/ziptax-utils.php on line 22
[01-Jul-2025 05:35:25 UTC] PHP Warning:  file_put_contents(/var/log/zt-debug.log): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/ziptax-sales-tax-for-woocommerce/inc/ziptax-utils.php on line 22
[01-Jul-2025 05:35:35 UTC] PHP Warning:  file_put_contents(/var/log/zt-debug.log): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/ziptax-sales-tax-for-woocommerce/inc/ziptax-utils.php on line 22
[01-Jul-2025 05:35:48 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>zmplugin</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jul-2025 05:36:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>zmplugin</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jul-2025 05:36:14 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>zmplugin</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jul-2025 05:38:19 UTC] PHP Warning:  Undefined array key "mctdir" in /wordpress/wp-content/plugins/the-codetree-backup/codetree-backup.php on line 356
[01-Jul-2025 05:38:20 UTC] PHP Warning:  Undefined array key "mctdir" in /wordpress/wp-content/plugins/the-codetree-backup/codetree-backup.php on line 356
[01-Jul-2025 05:38:29 UTC] PHP Warning:  Undefined array key "mctdir" in /wordpress/wp-content/plugins/the-codetree-backup/codetree-backup.php on line 356
[01-Jul-2025 05:38:30 UTC] PHP Warning:  Undefined array key "mctdir" in /wordpress/wp-content/plugins/the-codetree-backup/codetree-backup.php on line 356
[01-Jul-2025 05:38:39 UTC] PHP Warning:  Undefined array key "mctdir" in /wordpress/wp-content/plugins/the-codetree-backup/codetree-backup.php on line 356
[01-Jul-2025 05:38:40 UTC] PHP Warning:  Undefined array key "mctdir" in /wordpress/wp-content/plugins/the-codetree-backup/codetree-backup.php on line 356
[01-Jul-2025 05:41:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 32
[01-Jul-2025 05:41:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 114
[01-Jul-2025 05:41:16 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 115
[01-Jul-2025 05:41:17 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 32
[01-Jul-2025 05:41:17 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 114
[01-Jul-2025 05:41:17 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 115
[01-Jul-2025 05:41:26 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 32
[01-Jul-2025 05:41:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 114
[01-Jul-2025 05:41:31 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 115
[01-Jul-2025 05:41:33 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 32
[01-Jul-2025 05:41:38 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/the-scientific-diet-selector-free/diet-chooser.php on line 114
