file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [23-Apr-2025 11:24:03 UTC] PHP Deprecated:  Required parameter $content follows optional parameter $level in /wordpress/wp-content/plugins/moneypress-ebay-edition-r2/WPCSL-generic/classes/CSL-notifications_class.php on line 33
[23-Apr-2025 11:24:39 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 600
[23-Apr-2025 11:24:39 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 677
[23-Apr-2025 11:24:39 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 706
[23-Apr-2025 11:24:39 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 788
[23-Apr-2025 11:24:39 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 812
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 365
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 457
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $meta_key follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 491
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $meta_key follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 531
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 571
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 600
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 677
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 706
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 788
[23-Apr-2025 11:24:40 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 812
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 365
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 457
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $meta_key follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 491
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $meta_key follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 531
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 571
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 600
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 677
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 706
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 788
[23-Apr-2025 11:24:47 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 812
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 365
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 457
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $meta_key follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 491
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $meta_key follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 531
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 571
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 600
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 677
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $tax follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 706
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 788
[23-Apr-2025 11:24:48 UTC] PHP Deprecated:  Required parameter $cpt follows optional parameter $limit in /wordpress/wp-content/plugins/move-bbpress-multisite/includes/class-bbpress-ms-move-copy.php on line 812
[23-Apr-2025 11:25:46 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[23-Apr-2025 11:26:26 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[23-Apr-2025 11:27:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[23-Apr-2025 11:30:59 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 404
[23-Apr-2025 11:30:59 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 410
[23-Apr-2025 11:30:59 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 416
[23-Apr-2025 11:30:59 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 416
[23-Apr-2025 11:30:59 UTC] PHP Fatal error:  Cannot redeclare add_term_meta() (previously declared in /wordpress/wp-includes/taxonomy.php:1401) in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 514
[23-Apr-2025 11:31:07 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 404
[23-Apr-2025 11:31:07 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 410
[23-Apr-2025 11:31:07 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 416
[23-Apr-2025 11:31:07 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 416
[23-Apr-2025 11:31:07 UTC] PHP Fatal error:  Cannot redeclare add_term_meta() (previously declared in /wordpress/wp-includes/taxonomy.php:1401) in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 514
[23-Apr-2025 11:31:15 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 404
[23-Apr-2025 11:31:15 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $field in /wordpress/wp-content/plugins/jh-portfolio/helper/functions.php on line 410
