file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [16-Apr-2025 05:27:45 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/everquest-next-raid-planner/eqnext-raider.php on line 13
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 49
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 50
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 154
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 97
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 98
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 99
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 100
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 150
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 151
[16-Apr-2025 05:28:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 152
[16-Apr-2025 05:28:26 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/embed-power-bi/lib/cmb2/includes/rest-api/CMB2_REST.php on line 693
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 37
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 38
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 39
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 40
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 41
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 42
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 43
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 44
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 45
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 46
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 47
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 48
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 49
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 50
[16-Apr-2025 05:28:35 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 154
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 37
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 38
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 39
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 40
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 41
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 42
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 43
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 44
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 45
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 46
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 47
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 48
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 49
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 50
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-schedule-resources.php on line 154
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 97
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 98
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 99
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 100
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 150
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 151
[16-Apr-2025 05:28:36 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/embed-power-bi/includes/class-power-bi-oauth.php on line 152
[16-Apr-2025 05:28:37 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/embed-power-bi/lib/cmb2/includes/rest-api/CMB2_REST.php on line 693
[16-Apr-2025 05:35:40 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/elvez-hide-site-header-and-footer/admin/class-elvez-hide-site-header-and-footer-admin.php on line 313
[16-Apr-2025 05:35:48 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/elvez-hide-site-header-and-footer/admin/class-elvez-hide-site-header-and-footer-admin.php on line 313
[16-Apr-2025 05:35:56 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/elvez-hide-site-header-and-footer/admin/class-elvez-hide-site-header-and-footer-admin.php on line 313

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"elvez-hide-site-header-and-footer"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
