file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$current_theme_name in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 2507
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$current_theme_friendly_name in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 1050
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$current_theme_location in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 1054
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$current_theme_name in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 1054
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 1964
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$developer_mode in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 2004
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$ipad_support in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 495
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$current_theme_location in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 2507
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$current_theme_name in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 2507
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$ipad_support in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 495
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$desktop_is_first_view in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 170
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$post_thumbnails_enabled in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 214
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$force_locale in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 1771
[11-May-2025 08:33:25 UTC] PHP Warning:  Undefined property: MobileViewSettings::$force_locale in /wordpress/wp-content/plugins/mobileview/includes/classes/mobileviewlang.php on line 1772
[11-May-2025 08:35:42 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 59
[11-May-2025 08:35:42 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 155
[11-May-2025 08:35:42 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 237
[11-May-2025 08:35:43 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 253
[11-May-2025 08:35:43 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 275
[11-May-2025 08:35:43 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 596
[11-May-2025 08:35:43 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 620
[11-May-2025 08:35:43 UTC] PHP Warning:  Constant MYEASYBACKUP_FAMILY already defined in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 714
[11-May-2025 08:35:43 UTC] PHP Warning:  Constant MYEASYBACKUP_FREE already defined in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 715
[11-May-2025 08:35:44 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "ZipArchive" in /wordpress/wp-content/plugins/myeasybackup/myeasybackup.php:498
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('myeasybackup/my...')
#2 /internal/eval.php(20): activate_plugin('myeasybackup/my...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/myeasybackup/myeasybackup.php on line 498
[11-May-2025 08:35:53 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 59
[11-May-2025 08:35:53 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 155
[11-May-2025 08:35:53 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 237
[11-May-2025 08:35:53 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 253
[11-May-2025 08:35:53 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 275
[11-May-2025 08:35:53 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 596
[11-May-2025 08:35:53 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 620
[11-May-2025 08:35:53 UTC] PHP Warning:  Constant MYEASYBACKUP_FAMILY already defined in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 714
[11-May-2025 08:35:53 UTC] PHP Warning:  Constant MYEASYBACKUP_FREE already defined in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 715
[11-May-2025 08:35:54 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "ZipArchive" in /wordpress/wp-content/plugins/myeasybackup/myeasybackup.php:498
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('myeasybackup/my...')
#2 /internal/eval.php(20): activate_plugin('myeasybackup/my...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/myeasybackup/myeasybackup.php on line 498
[11-May-2025 08:36:02 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 59
[11-May-2025 08:36:02 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 155
[11-May-2025 08:36:02 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 237
[11-May-2025 08:36:03 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 253
[11-May-2025 08:36:03 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 275
[11-May-2025 08:36:03 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 596
[11-May-2025 08:36:03 UTC] PHP Notice:  tempnam(): file created in the system's temporary directory in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 620
[11-May-2025 08:36:03 UTC] PHP Warning:  Constant MYEASYBACKUP_FAMILY already defined in /wordpress/wp-content/plugins/myeasybackup/meb-config.php on line 714
